# Time-averaged data for fix 1com
# TimeStep Number-of-rows
# Row c_com[1] c_com[2] c_com[3]
0 10
1 2.75074 22.1541 43.9911
2 18.4427 47.0605 44.3253
3 43.8875 44.6278 72.8667
4 76.5387 69.4184 40.3121
5 37.0223 21.8968 21.2842
6 56.2512 34.8081 36.9755
7 25.0299 44.9509 81.2984
8 39.3907 63.505 9.13811
9 33.5502 66.672 71.2836
10 12.3367 50.6459 69.7644
4 10
1 2.9486 22.0568 43.5489
2 19.6118 46.6302 44.2335
3 42.3559 44.4618 73.2521
4 76.6523 70.1888 40.3067
5 37.9214 21.8139 20.5649
6 56.5532 34.6747 37.2205
7 24.1972 44.2349 81.6901
8 38.6059 62.4006 9.12424
9 33.2098 67.366 71.8276
10 12.3531 51.2272 69.6168
8 10
1 4.04003 22.5186 43.2734
2 20.1778 46.3619 44.79
3 41.3581 44.473 72.7434
4 76.9639 70.4516 41.3408
5 38.3771 21.1637 19.948
6 56.1483 33.6731 36.8716
7 23.3522 44.6192 82.1145
8 38.5203 61.9472 9.21838
9 32.7501 68.3599 70.8777
10 12.462 52.2508 70.4056
12 10
1 4.08894 22.9373 43.6397
2 20.5209 47.564 45.4273
3 40.8194 44.2237 71.7883
4 76.9543 70.8651 41.3277
5 39.0998 21.8433 21.0568
6 55.5003 34.9194 36.2681
7 23.5137 45.397 81.601
8 38.2724 62.2841 9.68993
9 31.7906 69.3317 71.2775
10 12.4449 53.5554 70.3299
16 10
1 3.55058 23.5908 44.3641
2 20.2654 48.5116 44.9694
3 40.5353 42.4026 71.0631
4 76.712 70.6571 40.8261
5 38.9066 20.8089 21.561
6 56.524 34.3607 37.3625
7 23.2988 46.3342 82.3699
8 38.3923 63.7107 10.3975
9 32.1774 69.8031 71.5266
10 13.0575 54.0482 69.87
20 10
1 4.61114 23.7874 43.9595
2 19.2855 48.7508 45.9786
3 40.8245 42.0532 71.3491
4 77.9969 70.2288 40.2571
5 40.0898 20.2638 21.5053
6 57.5495 34.4043 36.97
7 23.238 46.6634 81.4706
8 38.0207 63.7938 9.82787
9 32.0278 69.4172 71.7612
10 13.1071 54.6794 70.8952
24 10
1 4.56801 24.1669 44.9094
2 18.1624 48.7927 46.7592
3 42.809 42.4578 70.7085
4 78.0423 70.0646 41.2804
5 40.916 20.6177 21.8163
6 58.036 34.8676 36.9218
7 24.1267 48.4774 80.5967
8 37.8312 63.2671 9.98971
9 32.4576 69.8128 72.2365
10 12.4646 55.2626 70.5032
28 10
1 4.29177 25.1045 44.6904
2 17.4445 48.9467 46.7825
3 43.5026 42.5019 70.5514
4 77.1075 69.313 41.4712
5 41.2112 20.6453 21.8923
6 58.8427 35.2032 36.8628
7 23.7699 49.1296 80.9969
8 36.5253 63.1824 9.82947
9 33.482 70.4116 72.4243
10 12.9175 55.2813 69.798
32 10
1 3.99903 25.6649 45.1759
2 17.3138 47.452 46.1271
3 43.9818 42.6542 69.6938
4 77.2376 69.7847 42.0915
5 41.2321 20.5836 21.7474
6 60.0175 34.684 37.1853
7 24.4449 48.9858 82.3111
8 35.8863 63.0276 9.57373
9 33.0585 70.6004 72.6673
10 14.2215 55.2066 68.5966
36 10
1 4.14293 26.4299 46.2605
2 18.5942 46.7866 46.7238
3 44.4714 43.4416 70.37
4 77.0577 69.9434 42.4537
5 41.1954 21.3213 20.8694
6 60.37 34.5193 37.6699
7 24.9102 48.3115 81.8646
8 35.599 64.1474 10.5031
9 33.4236 70.9217 72.1846
10 15.0796 54.9355 68.7978
40 10
1 5.16096 26.1539 46.3902
2 17.7596 45.6564 46.6152
3 44.7332 43.2792 71.0313
4 77.9128 70.1842 43.2492
5 40.9721 19.9757 20.2219
6 60.6637 35.0015 38.2058
7 26.078 48.3395 81.5907
8 35.8298 64.1263 11.6898
9 32.8443 71.7147 71.7259
10 16.1164 54.4377 69.1858
44 10
1 4.45954 26.4679 45.5496
2 18.078 46.7003 46.5193
3 44.1835 42.7846 71.4377
4 77.6738 69.9224 43
5 42.6063 20.3861 20.6257
6 60.7644 36.2115 38.0058
7 26.0372 49.027 82.0832
8 35.2619 64.8958 11.1838
9 33.34 71.7462 70.7337
10 16.8066 54.8209 68.7964
48 10
1 5.09637 27.1075 45.867
2 19.0833 46.6976 46.7285
3 44.7393 44.1716 73.4917
4 76.6351 69.4365 42.4789
5 43.1311 19.9124 19.2187
6 61.4052 36.5382 36.096
7 25.861 49.1218 83.6779
8 34.3952 63.9413 11.8311
9 33.2702 72.0848 70.4254
10 15.9653 54.6628 68.6991
52 10
1 6.43373 28.2144 45.8478
2 19.8651 46.5517 46.7358
3 44.9105 45.1003 73.8384
4 76.2901 69.5593 41.5846
5 42.4732 19.435 20.2663
6 61.6895 35.9915 35.3987
7 26.4931 48.4592 84.039
8 34.9773 64.9974 11.1346
9 32.9364 71.4959 69.3837
10 16.2727 54.6421 68.3846
56 10
1 5.72376 28.7888 45.8599
